zip_code,population,median_income,median_age
01096,2516.0,106250.0,47.9
01097,36.0,,33.8
01098,951.0,91181.0,61.1
01103,2245.0,21288.0,36.5
01104,22606.0,47413.0,34.7
01105,12045.0,23948.0,28.1
01106,16019.0,137597.0,45.1
01107,12443.0,30825.0,27.4
01108,26198.0,48465.0,34.6
01109,31301.0,42928.0,29.0
01118,15112.0,78354.0,37.7
01119,14182.0,54326.0,36.2
01128,3063.0,77050.0,39.2
01129,6486.0,80352.0,42.8
01151,9467.0,51410.0,33.9
01201,45188.0,67262.0,43.8
01220,8149.0,54677.0,48.2
01222,623.0,78077.0,42.6
01223,2565.0,79226.0,50.5
01224,124.0,,57.1
01225,3239.0,72485.0,52.1
01226,6332.0,76198.0,49.8
01229,125.0,,73.3
01230,9095.0,73884.0,48.4
01235,2461.0,71641.0,51.1
01236,1625.0,113958.0,55.3
01237,2451.0,86300.0,50.3
01238,5928.0,77679.0,50.8
01240,4922.0,82578.0,58.1
01242,255.0,,40.7
01243,135.0,79167.0,59.6
01244,158.0,56842.0,58.8
01245,828.0,111354.0,64.4
01247,15279.0,53692.0,44.9
01253,818.0,102596.0,53.0
01254,961.0,91667.0,61.8
01255,931.0,73958.0,48.9
01256,620.0,54219.0,54.1
01257,2230.0,78940.0,58.1
01258,188.0,117917.0,55.6
01259,733.0,120568.0,42.8
01260,20.0,,
01262,1785.0,75804.0,60.3
01264,207.0,78750.0,63.4
01266,952.0,85714.0,56.0
01267,8142.0,101823.0,34.1
01270,999.0,100833.0,44.2
01301,17880.0,53536.0,44.3
01330,1607.0,80560.0,58.1
01331,13845.0,66985.0,44.0
01337,2470.0,79000.0,49.8
01338,65.0,56250.0,72.5
01339,1396.0,69500.0,56.9
01340,1890.0,74632.0,50.8
01341,1620.0,92500.0,54.0
01342,1321.0,99583.0,36.8
01343,167.0,76250.0,43.7
01344,1631.0,70560.0,43.2
01346,409.0,105944.0,58.3
01347,197.0,74712.0,29.5
01349,764.0,70240.0,43.1
01350,103.0,,61.1
01351,2741.0,96389.0,44.0
01354,1747.0,79135.0,43.5
01355,1009.0,76739.0,55.6
01360,2871.0,94775.0,48.4
01364,7643.0,55773.0,43.1
01366,1177.0,104205.0,52.0
01367,504.0,78125.0,45.3
01368,1455.0,98542.0,48.2
01370,3713.0,74680.0,52.4
01373,4921.0,96546.0,52.3
01375,3658.0,59185.0,34.0
01376,4868.0,53671.0,47.7
01378,814.0,89643.0,50.4
01379,779.0,66290.0,52.0
01380,25.0,,30.8
01420,41661.0,65599.0,37.7
01430,6457.0,111801.0,38.8
01431,3187.0,105750.0,51.6
01432,8118.0,99375.0,40.0
01434,1763.0,106875.0,46.0
01436,3694.0,90225.0,32.8
01438,385.0,83953.0,19.4
01440,21231.0,57289.0,45.1
01450,11212.0,186750.0,41.0
01451,5362.0,199191.0,41.6
01452,4338.0,114922.0,42.3
01453,43550.0,75954.0,43.0
01460,10084.0,151488.0,42.3
01462,11765.0,106473.0,43.0
01463,11667.0,124052.0,42.9
01464,7092.0,114118.0,46.3
01468,4009.0,106581.0,43.9
